Textual_feature,Credit_label
"Status of existing checking account is less than 0 DM; Duration in month is 6; Credit history is critical account or other credits existing (not at this bank); Purpose is radio/television; Credit amount is 1169; Savings account/bonds is unknown/ no savings account; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 67; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is less than 0 DM; Duration in month is 48; Credit history is existing credits paid back duly till now; Purpose is business; Credit amount is 4308; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 3; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 24; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 1567; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 1; Property is car or other; Age in years is 22; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 1199; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 60; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is less than 0 DM; Duration in month is 15; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 1403; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 28; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 1282; Savings account/bonds is between 100 DM and 500 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 32; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is no checking account; Duration in month is 24; Credit history is critical account or other credits existing (not at this bank); Purpose is radio/television; Credit amount is 2424; Savings account/bonds is unknown/ no savings account; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 53; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 30; Credit history is no credits taken or all credits paid back duly; Purpose is business; Credit amount is 8072; Savings account/bonds is unknown/ no savings account; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 3; Property is car or other; Age in years is 25; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 3; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is car (used); Credit amount is 12579; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is unknown or no property; Age in years is 44; Other installment plans is none; Housing is for free; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Bad
"Status of existing checking account is no checking account; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 3430; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 31; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 2; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
"Status of existing checking account is no checking account; Duration in month is 9; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 2134; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 48; Other installment plans is none; Housing is own; Number of existing credits at this bank is 3; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is less than 0 DM; Duration in month is 6; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 2647; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 3; Property is real estate; Age in years is 44; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 10; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 2241; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 3; Property is real estate; Age in years is 48; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 2; Telephone is none; foreign worker is no.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 12; Credit history is critical account or other credits existing (not at this bank); Purpose is car (used); Credit amount is 1804; Savings account/bonds is between 100 DM and 500 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 44; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is no checking account; Duration in month is 10; Credit history is critical account or other credits existing (not at this bank); Purpose is furniture/equipment; Credit amount is 2069; Savings account/bonds is unknown/ no savings account; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 1; Property is car or other; Age in years is 26; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is no.,Good
"Status of existing checking account is less than 0 DM; Duration in month is 6; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 1374; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is real estate; Age in years is 36; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 6; Credit history is no credits taken or all credits paid back duly; Purpose is radio/television; Credit amount is 426; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 39; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 12; Credit history is all credits at this bank paid back duly; Purpose is radio/television; Credit amount is 409; Savings account/bonds is larger than 1000 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 3; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 3; Property is real estate; Age in years is 42; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 7; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 2415; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is guarantor; Present residence since is 2; Property is real estate; Age in years is 34; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is less than 0 DM; Duration in month is 60; Credit history is delay in paying off in the past; Purpose is business; Credit amount is 6836; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 63; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Bad
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 18; Credit history is existing credits paid back duly till now; Purpose is business; Credit amount is 1913; Savings account/bonds is larger than 1000 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 3; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 3; Property is real estate; Age in years is 36; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is less than 0 DM; Duration in month is 24; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 4020; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 27; Other installment plans is stores; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 18; Credit history is existing credits paid back duly till now; Purpose is car (new); Credit amount is 5866; Savings account/bonds is between 100 DM and 500 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 30; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 12; Credit history is critical account or other credits existing (not at this bank); Purpose is business; Credit amount is 1264; Savings account/bonds is unknown/ no savings account; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 57; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is furniture/equipment; Credit amount is 1474; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 1; Property is building society savings agreement/life insurance; Age in years is 33; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 45; Credit history is critical account or other credits existing (not at this bank); Purpose is radio/television; Credit amount is 4746; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is building society savings agreement/life insurance; Age in years is 25; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
"Status of existing checking account is no checking account; Duration in month is 48; Credit history is critical account or other credits existing (not at this bank); Purpose is education; Credit amount is 6110; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 3; Property is unknown or no property; Age in years is 31; Other installment plans is bank; Housing is for free; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 18; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 2100; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is co-applicant; Present residence since is 2; Property is real estate; Age in years is 37; Other installment plans is stores; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
"Status of existing checking account is larger than 200 DM or salary assignments for at least 1 year; Duration in month is 10; Credit history is existing credits paid back duly till now; Purpose is domestic appliances; Credit amount is 1225; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 37; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 9; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 458; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 3; Property is real estate; Age in years is 24; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is no checking account; Duration in month is 30; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 2333; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 30; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 1; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 1158; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 3; Personal status and sex is divorced/separated male; Other debtors or guarantors is none; Present residence since is 1; Property is car or other; Age in years is 26; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 18; Credit history is delay in paying off in the past; Purpose is repairs; Credit amount is 6204; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 2; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is real estate; Age in years is 44; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 2; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is less than 0 DM; Duration in month is 30; Credit history is critical account or other credits existing (not at this bank); Purpose is car (used); Credit amount is 6187; Savings account/bonds is between 100 DM and 500 DM; Present employment since is between 4 years to 7 years; Installment rate in percentage of disposable income is 1; Personal status and sex is married/widowed male; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 24; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 2; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is less than 0 DM; Duration in month is 48; Credit history is critical account or other credits existing (not at this bank); Purpose is car (used); Credit amount is 6143; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is unknown or no property; Age in years is 58; Other installment plans is stores; Housing is for free; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Bad
Status of existing checking account is no checking account; Duration in month is 11; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 1393; Savings account/bonds is less than 100 DM; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 35; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is no checking account; Duration in month is 36; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 2299; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is car or other; Age in years is 39; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is less than 0 DM; Duration in month is 6; Credit history is existing credits paid back duly till now; Purpose is car (used); Credit amount is 1352; Savings account/bonds is between 500 DM and 1000 DM; Present employment since is unemployed; Installment rate in percentage of disposable income is 1; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is none; Present residence since is 2; Property is building society savings agreement/life insurance; Age in years is 23; Other installment plans is none; Housing is rent; Number of existing credits at this bank is 1; Job is unemployed or unskilled  - non-resident; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 11; Credit history is critical account or other credits existing (not at this bank); Purpose is car (new); Credit amount is 7228; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 4; Property is building society savings agreement/life insurance; Age in years is 39; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is no checking account; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 2073; Savings account/bonds is between 100 DM and 500 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 4; Personal status and sex is divorced/separated/married female; Other debtors or guarantors is co-applicant; Present residence since is 2; Property is real estate; Age in years is 28; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
Status of existing checking account is between 0 DM and 200 DM; Duration in month is 24; Credit history is delay in paying off in the past; Purpose is furniture/equipment; Credit amount is 2333; Savings account/bonds is unknown/ no savings account; Present employment since is shorter than 1 year; Installment rate in percentage of disposable income is 4; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is building society savings agreement/life insurance; Age in years is 29; Other installment plans is bank; Housing is own; Number of existing credits at this bank is 1; Job is unskilled - resident; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
"Status of existing checking account is between 0 DM and 200 DM; Duration in month is 27; Credit history is delay in paying off in the past; Purpose is car (used); Credit amount is 5965; Savings account/bonds is less than 100 DM; Present employment since is longer than 7 years; Installment rate in percentage of disposable income is 1; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 30; Other installment plans is none; Housing is own; Number of existing credits at this bank is 2; Job is management or self-employed or highly qualified employee or officer; Number of people being liable to provide maintenance for is 1; Telephone is yes, registered under the customers name; foreign worker is yes.",Good
Status of existing checking account is no checking account; Duration in month is 12; Credit history is existing credits paid back duly till now; Purpose is radio/television; Credit amount is 1262; Savings account/bonds is less than 100 DM; Present employment since is between 1 year to 4 years; Installment rate in percentage of disposable income is 3; Personal status and sex is single male; Other debtors or guarantors is none; Present residence since is 2; Property is car or other; Age in years is 25; Other installment plans is none; Housing is own; Number of existing credits at this bank is 1; Job is skilled employee or official; Number of people being liable to provide maintenance for is 1; Telephone is none; foreign worker is yes.,Good
